Location Id,Depot Id,Band,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2008,30053,06:00,17,23,19,17,17,21,11,11
2008,30053,12:00,34,26,30,33,31,30,36,36
2008,30053,18:00,34,36,34,34,35,33,35,35
2008,30053,PE,15,15,17,16,17,16,18,18
2017,30053,06:00,17,23,19,17,17,21,11,11
2017,30053,12:00,34,26,30,33,31,30,36,36
2017,30053,18:00,34,36,34,34,35,33,35,35
2017,30053,PE,15,15,17,16,17,16,18,18
2030,30103,06:00,17,23,19,17,17,21,11,11
2030,30103,12:00,34,26,30,33,31,30,36,36
2030,30103,18:00,34,36,34,34,35,33,35,35
2030,30103,PE,15,15,17,16,17,16,18,18
2038,30053,06:00,17,23,19,17,17,21,11,11
2038,30053,12:00,34,26,30,33,31,30,36,36
2038,30053,18:00,34,36,34,34,35,33,35,35
2038,30053,PE,15,15,17,16,17,16,18,18
2044,30102,06:00,17,23,19,17,17,21,11,11
2044,30102,12:00,34,26,30,33,31,30,36,36
2044,30102,18:00,34,36,34,34,35,33,35,35
2044,30102,PE,15,15,17,16,17,16,18,18
2047,30053,06:00,17,23,19,17,17,21,11,11
2047,30053,12:00,34,26,30,33,31,30,36,36
2047,30053,18:00,34,36,34,34,35,33,35,35
2047,30053,PE,15,15,17,16,17,16,18,18
2064,30053,06:00,17,23,19,17,17,21,11,11
2064,30053,12:00,34,26,30,33,31,30,36,36
2064,30053,18:00,34,36,34,34,35,33,35,35
2064,30053,PE,15,15,17,16,17,16,18,18
2156,30103,06:00,17,23,19,17,17,21,11,11
2156,30103,12:00,34,26,30,33,31,30,36,36
2156,30103,18:00,34,36,34,34,35,33,35,35
2156,30103,PE,15,15,17,16,17,16,18,18
2160,30053,06:00,17,23,19,17,17,21,11,11
2160,30053,12:00,34,26,30,33,31,30,36,36
2160,30053,18:00,34,36,34,34,35,33,35,35
2160,30053,PE,15,15,17,16,17,16,18,18
2164,30103,06:00,17,23,19,17,17,21,11,11
2164,30103,12:00,34,26,30,33,31,30,36,36
2164,30103,18:00,34,36,34,34,35,33,35,35
2164,30103,PE,15,15,17,16,17,16,18,18
2266,30103,06:00,17,23,19,17,17,21,11,11
2266,30103,12:00,34,26,30,33,31,30,36,36
2266,30103,18:00,34,36,34,34,35,33,35,35
2266,30103,PE,15,15,17,16,17,16,18,18
2279,30053,06:00,17,23,19,17,17,21,11,11
2279,30053,12:00,34,26,30,33,31,30,36,36
2279,30053,18:00,34,36,34,34,35,33,35,35
2279,30053,PE,15,15,17,16,17,16,18,18
2328,30102,06:00,17,23,19,17,17,21,11,11
2328,30102,12:00,34,26,30,33,31,30,36,36
2328,30102,18:00,34,36,34,34,35,33,35,35
2328,30102,PE,15,15,17,16,17,16,18,18
2335,30102,06:00,17,23,19,17,17,21,11,11
2335,30102,12:00,34,26,30,33,31,30,36,36
2335,30102,18:00,34,36,34,34,35,33,35,35
2335,30102,PE,15,15,17,16,17,16,18,18
2425,30053,06:00,17,23,19,17,17,21,11,11
2425,30053,12:00,34,26,30,33,31,30,36,36
2425,30053,18:00,34,36,34,34,35,33,35,35
2425,30053,PE,15,15,17,16,17,16,18,18
2642,30053,06:00,17,23,19,17,17,21,11,11
2642,30053,12:00,34,26,30,33,31,30,36,36
2642,30053,18:00,34,36,34,34,35,33,35,35
2642,30053,PE,15,15,17,16,17,16,18,18
2663,30053,06:00,17,23,19,17,17,21,11,11
2663,30053,12:00,34,26,30,33,31,30,36,36
2663,30053,18:00,34,36,34,34,35,33,35,35
2663,30053,PE,15,15,17,16,17,16,18,18
2733,30102,06:00,17,23,19,17,17,21,11,11
2733,30102,12:00,34,26,30,33,31,30,36,36
2733,30102,18:00,34,36,34,34,35,33,35,35
2733,30102,PE,15,15,17,16,17,16,18,18
2819,30102,06:00,17,23,19,17,17,21,11,11
2819,30102,12:00,34,26,30,33,31,30,36,36
2819,30102,18:00,34,36,34,34,35,33,35,35
2819,30102,PE,15,15,17,16,17,16,18,18
2846,30102,06:00,17,23,19,17,17,21,11,11
2846,30102,12:00,34,26,30,33,31,30,36,36
2846,30102,18:00,34,36,34,34,35,33,35,35
2846,30102,PE,15,15,17,16,17,16,18,18
2849,30102,06:00,17,23,19,17,17,21,11,11
2849,30102,12:00,34,26,30,33,31,30,36,36
2849,30102,18:00,34,36,34,34,35,33,35,35
2849,30102,PE,15,15,17,16,17,16,18,18
2850,30102,06:00,17,23,19,17,17,21,11,11
2850,30102,12:00,34,26,30,33,31,30,36,36
2850,30102,18:00,34,36,34,34,35,33,35,35
2850,30102,PE,15,15,17,16,17,16,18,18
2919,30053,06:00,17,23,19,17,17,21,11,11
2919,30053,12:00,34,26,30,33,31,30,36,36
2919,30053,18:00,34,36,34,34,35,33,35,35
2919,30053,PE,15,15,17,16,17,16,18,18
2933,30102,06:00,17,23,19,17,17,21,11,11
2933,30102,12:00,34,26,30,33,31,30,36,36
2933,30102,18:00,34,36,34,34,35,33,35,35
2933,30102,PE,15,15,17,16,17,16,18,18
2949,30102,06:00,17,23,19,17,17,21,11,11
2949,30102,12:00,34,26,30,33,31,30,36,36
2949,30102,18:00,34,36,34,34,35,33,35,35
2949,30102,PE,15,15,17,16,17,16,18,18
3036,30103,06:00,17,23,19,17,17,21,11,11
3036,30103,12:00,34,26,30,33,31,30,36,36
3036,30103,18:00,34,36,34,34,35,33,35,35
