Store Id,Grocery,Grocery Trunk,Fresh,Fresh Trunk,Frozen,Frozen Trunk
2005,#N/A,#N/A,30102,30102,#N/A,#N/A
2008,#N/A,#N/A,30053,30053,37197,30053
2013,#N/A,#N/A,30053,30053,#N/A,#N/A
2017,#N/A,#N/A,30053,30053,37197,30053
2020,#N/A,#N/A,30053,30053,37197,30053
2025,#N/A,#N/A,30103,30103,37197,30103
2030,#N/A,#N/A,30103,30103,37197,30103
2032,#N/A,#N/A,30103,30103,37197,30103
2038,#N/A,#N/A,30053,30053,#N/A,#N/A
2041,#N/A,#N/A,30053,30053,#N/A,#N/A
2043,#N/A,#N/A,30053,30053,#N/A,#N/A
2044,#N/A,#N/A,30102,30102,#N/A,#N/A
2047,#N/A,#N/A,30053,30053,37197,30053
2048,#N/A,#N/A,34515,34515,37197,34515
2064,#N/A,#N/A,30053,30053,37197,30053
2080,#N/A,#N/A,30103,30103,37197,30103
2089,#N/A,#N/A,30053,30053,37197,30053
2102,#N/A,#N/A,30103,30103,37197,30103
2111,#N/A,#N/A,30103,30103,37197,30103
2115,#N/A,#N/A,30053,30053,37197,30053
2117,#N/A,#N/A,30103,30103,37197,30103
2120,#N/A,#N/A,30103,30103,37197,30103
2124,#N/A,#N/A,30053,30053,37197,30053
2132,#N/A,#N/A,30053,30053,37197,30053
2156,#N/A,#N/A,30103,30103,37197,30103
2160,#N/A,#N/A,30053,30053,37197,30053
2162,#N/A,#N/A,30053,30053,37197,30053
2163,#N/A,#N/A,30052,30052,37197,30052
2164,#N/A,#N/A,30103,30103,37197,30103
2170,#N/A,#N/A,30102,30102,#N/A,#N/A
2175,#N/A,#N/A,30103,30103,37197,30103
2185,#N/A,#N/A,30102,30102,#N/A,#N/A
2193,#N/A,#N/A,30103,30103,37197,30103
2194,#N/A,#N/A,30103,30103,37197,30103
2198,#N/A,#N/A,30103,30103,37197,30103
2214,#N/A,#N/A,30102,30102,#N/A,#N/A
2219,#N/A,#N/A,30102,30102,#N/A,#N/A
2223,#N/A,#N/A,30103,30103,37197,30103
