Fixed Trip Id,Start Location,End Location,Drop Location,Target,Sequence,Arrival Time,Visit Type,Vehicle Type,Day of the Week,Day of the Leg,Schedule with Wave,Driver,Product Code,Volume,Flexible Start,Flexible End
1,30103,30103,7892100,,1,09:29-09:30,Delivery,13m,Thursday,Thursday,1,,6,45,No,No
2,30103,30103,7892100,,1,09:29-09:30,Delivery,13m,Friday,Friday,1,,6,45,No,No
3,30103,30103,7892100,,1,09:29-09:30,Delivery,13m,Saturday,Saturday,1,,6,45,No,No
4,30103,30103,7892100,,1,09:29-09:30,Delivery,13m,Monday,Monday,1,,6,45,No,No
5,30103,30103,7892100,,1,09:29-09:30,Delivery,13m,Tuesday,Tuesday,1,,6,45,No,No
6,30103,30103,7892100,,1,09:29-09:30,Delivery,13m,Wednesday,Wednesday,1,,6,45,No,No
7,30103,30103,38510,,1,09:30-10:29,Collection,13m,Monday,Monday,2,,7,45,No,No
7,30103,30103,1929602,,2,11:59-12:00,Delivery,13m,Monday,Monday,2,,7,45,No,No
7,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Monday,Monday,2,,7,25,No,No
7,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Monday,Monday,2,,7,20,No,No
8,30103,30103,38510,,1,09:30-10:29,Collection,13m,Tuesday,Tuesday,2,,7,45,No,No
8,30103,30103,1929602,,2,11:59-12:00,Delivery,13m,Tuesday,Tuesday,2,,7,45,No,No
8,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Tuesday,Tuesday,2,,7,25,No,No
8,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Tuesday,Tuesday,2,,7,20,No,No
9,30103,30103,38510,,1,09:30-10:29,Collection,13m,Wednesday,Wednesday,2,,7,45,No,No
9,30103,30103,1929602,,2,11:59-12:00,Delivery,13m,Wednesday,Wednesday,2,,7,45,No,No
9,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Wednesday,Wednesday,2,,7,25,No,No
9,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Wednesday,Wednesday,2,,7,20,No,No
10,30103,30103,38510,,1,09:30-10:29,Collection,13m,Thursday,Thursday,2,,7,45,No,No
10,30103,30103,1929602,,2,11:59-13:00,Delivery,13m,Thursday,Thursday,2,,7,45,No,No
10,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Thursday,Thursday,2,,7,25,No,No
10,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Thursday,Thursday,2,,7,20,No,No
11,30103,30103,38510,,1,09:30-10:29,Collection,13m,Friday,Friday,2,,7,45,No,No
11,30103,30103,1929602,,2,11:59-12:00,Delivery,13m,Friday,Friday,2,,7,45,No,No
11,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Friday,Friday,2,,7,25,No,No
11,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Friday,Friday,2,,7,20,No,No
12,30103,30103,38510,,1,09:30-10:29,Collection,13m,Saturday,Saturday,2,,7,45,No,No
12,30103,30103,1929602,,2,12:00-14:59,Delivery,13m,Saturday,Saturday,2,,7,45,No,No
12,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Saturday,Saturday,2,,7,25,No,No
12,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Saturday,Saturday,2,,7,20,No,No
13,30103,30103,38510,,1,09:30-10:29,Collection,13m,Sunday,Sunday,2,,7,45,No,No
13,30103,30103,1929602,,2,11:59-12:00,Delivery,13m,Sunday,Sunday,2,,7,45,No,No
13,30103,30103,1929602,30103,3,12:00-14:59,Collection,13m,Sunday,Sunday,2,,7,25,No,No
13,30103,30103,1929600,,4,13:00-16:59,Collection,13m,Sunday,Sunday,2,,7,20,No,No
14,30103,30103,1929601,30103,1,14:29-14:30,Collection,13m,Monday,Monday,2,,7,25,Yes,No
14,30103,30103,1929603,,2,15:00-15:59,Collection,13m,Monday,Monday,2,,7,20,Yes,No
15,30103,30103,1929601,30103,1,13:29-15:30,Collection,13m,Thursday,Thursday,2,,7,25,Yes,No
15,30103,30103,1929603,,2,14:00-15:59,Collection,13m,Thursday,Thursday,2,,7,20,Yes,No
16,30103,30103,1929601,30103,1,14:29-14:30,Collection,13m,Friday,Friday,2,,7,25,Yes,No
16,30103,30103,1929603,,2,15:00-15:59,Collection,13m,Friday,Friday,2,,7,20,Yes,No
17,30103,30103,1929601,30103,1,12:29-16:30,Collection,13m,Saturday,Saturday,2,,7,25,Yes,No
17,30103,30103,1929603,,2,13:00-17:59,Collection,13m,Saturday,Saturday,2,,7,20,Yes,No
18,30103,30103,1929601,30103,1,12:29-16:30,Collection,13m,Sunday,Sunday,2,,7,25,Yes,No
18,30103,30103,1929603,,2,13:00-17:59,Collection,13m,Sunday,Sunday,2,,7,20,Yes,No
19,30103,30103,1929601,30103,1,14:29-14:30,Collection,13m,Tuesday,Tuesday,2,,7,25,Yes,No
19,30103,30103,1929603,,2,15:00-15:59,Collection,13m,Tuesday,Tuesday,2,,7,20,Yes,No
20,30103,30103,1929601,30103,1,14:29-14:30,Collection,13m,Wednesday,Wednesday,2,,7,25,Yes,No
20,30103,30103,1929603,,2,15:00-15:59,Collection,13m,Wednesday,Wednesday,2,,7,20,Yes,No
21,30053,30053,7892100,,1,14:00-14:01,Delivery,13m,Monday,Monday,2,,6,45,No,No
23,30053,30053,2064,,1,02:00-02:59,Delivery,13m,Monday,Monday,1,,1,,No,No
23,30053,30053,30102,,2,04:30-05:29,Collection,13m,Monday,Monday,1,,7,45,No,No
23,30053,30053,8880030,,3,05:30-06:29,Delivery,13m,Monday,Monday,1,,7,45,No,No
