Location Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2005,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2008,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2008,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2013,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2013,8,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2017,1,08:30,08:30,08:30,08:30,08:30,07:00,09:00,09:00
2017,8,08:30,08:30,08:30,08:30,08:30,07:00,09:00,09:00
2020,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2020,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2025,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2025,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2030,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2030,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2032,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2032,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2038,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2038,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2041,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2041,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2043,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2043,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2044,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2047,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2047,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2048,1,06:30,06:30,06:30,06:30,06:30,06:30,10:30,10:30
2048,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2064,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2064,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2080,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2080,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2089,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2089,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2102,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2102,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2111,1,12:30,12:30,12:30,12:30,12:30,12:30,12:30,12:30
2111,8,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00
2115,1,05:30,05:30,05:30,05:30,05:30,05:30,05:30,05:30
2115,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2117,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2117,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2120,1,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2120,8,10:30,10:30,10:30,10:30,10:30,10:30,10:30,10:30
2124,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2124,8,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2132,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
2132,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2156,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2156,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2160,1,04:00,04:00,04:00,04:00,04:00,04:00,04:00,04:00
2160,8,01:00,01:00,01:00,01:00,01:00,01:00,01:00,01:00
2162,1,05:00,05:00,05:00,05:00,05:00,05:00,05:00,05:00
