Location Id,Vehicle Type,In For Time
2423,dd,02:00
2590,dd,02:00
2924,dd,02:00
3036,dd,02:00
3040,dd,02:00
3149,dd,02:00
3178,dd,02:00
6002,dd,02:00
6056,dd,02:00
3493,dd,02:00
3384,dd,02:00
2833,dd,02:00
3047,dd,02:00
6294,dd,02:00
2017,dd,02:00
2733,dd,02:00
2770,dd,02:00
2772,dd,02:00
2819,dd,02:00
2846,dd,02:00
2850,dd,02:00
2900,dd,02:00
3084,dd,02:00
3188,dd,02:00
3239,dd,02:00
3290,dd,02:00
3398,dd,02:00
3440,dd,02:00
5014,dd,02:00
5332,dd,02:00
5851,dd,02:00
6197,dd,02:00
6226,dd,02:00
6638,dd,02:00
2008,dd,02:00
2038,dd,02:00
2041,dd,02:00
2047,dd,02:00
2064,dd,02:00
2162,dd,02:00
3220,dd,02:00
3230,dd,02:00
3324,dd,02:00
5135,dd,02:00
2934,dd,02:00
2371,dd,02:00
2638,dd,02:00
2917,dd,02:00
2969,dd,02:00
2971,dd,02:00
5109,dd,02:00
5185,dd,02:00
2200,dd,02:00
2422,dd,02:00
2560,dd,02:00
3112,dd,02:00
3235,dd,02:00
5601,dd,02:00
