Location Id,Location Name,Location Type,Format,Dotcom Locations,Night to Day Locations,Number of Bays,Drop Sequence,Paired Location,Last Drop Restriction,Council Restricted,Country,Cage Consolidation,Vol Before Cage Consolidation
2005,Abington Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2008,Abingdon Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2013,Swindon Abbey Mds Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2017,Addlestone Extra,Store,Extra,No,Yes,1,,,No,Yes,England,Yes,7
2020,Amersham,Store,Superstore,Yes,No,1,,,No,No,England,Yes,7
2025,Aldershot Superstore.Com,Store,Superstore,Yes,No,1,,,No,No,England,Yes,7
2030,Andover 2  Extra.Com,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2032,Andover Cricketers Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2038,Aylesbury Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2041,Aylesbury 2,Store,Superstore,Yes,No,1,,,No,No,England,Yes,7
2043,Jackson Rd Aylesb Exp,Store,Express,No,No,1,First Drop,,No,Yes,England,Yes,7
2044,Ashby De La Zouch Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2047,Ashford Middlesex Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2048,Axminster,Store,Superstore,No,No,1,,,No,Yes,England,Yes,7
2064,Banbury,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2080,Basingstoke Superstore.Com,Store,Superstore,Yes,No,1,,,No,No,England,Yes,7
2089,Berkhamsted Metro,Store,Metro,No,No,1,,,No,No,England,Yes,7
2102,Bognor Regis  Superstore.Com,Store,Superstore,Yes,No,1,,,No,No,England,Yes,7
2111,Broadstone  Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2115,Bracknell North,Store,Superstore,No,No,1,,,No,Yes,England,Yes,7
2117,Blandford Forum Superstore,Store,Superstore,No,No,1,,,No,No,England,Yes,7
2120,Basingstoke  Metro,Store,Metro,No,No,1,,,No,Yes,England,Yes,7
2124,Brackley,Store,Superstore,No,No,1,,,No,Yes,England,Yes,7
2132,Bracknell,Store,Superstore,Yes,No,1,,,No,Yes,England,Yes,7
2156,Bursledon  Extra.Com,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2160,Brooklands Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2162,Buckingham,Store,Superstore,Yes,Yes,1,,,No,Yes,England,Yes,7
2163,Burgess Hill,Store,Superstore,Yes,No,1,,,No,No,England,Yes,7
2164,Bournemouth  Extra.Com,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2170,Burton On Trent,Store,Superstore,No,No,1,,,No,No,England,Yes,7
2175,Bitterne  Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2185,Bushbury Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2193,Bordon Superstore,Store,Superstore,No,Yes,1,,,No,Yes,England,Yes,7
2194,Bognor Station Rd  Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2198,Aldwick Road  Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2214,Cannock,Store,Superstore,No,Yes,1,,,No,Yes,England,Yes,7
2219,Green Ln Cstl Brm Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2223,Bell Hill Petersfield Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2234,Chineham (Lychpitt) Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2247,Caversham Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2255,Chard,Store,Superstore,No,No,1,,,No,Yes,England,Yes,7
2257,Chaddesden Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2266,Chichester 2  Extra.Com,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2267,Chalfont Express,Store,Express,No,No,1,,,No,No,England,Yes,7
2279,Cirencester Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2282,Christchurch  Express,Store,Express,No,No,1,,,No,No,England,Yes,7
2302,Coventry 2,Store,Metro,No,No,1,,,No,Yes,England,Yes,7
2305,Bowmont Sq Bicstr Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2313,Crawley Hazelwick Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2318,Hook Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2319,Cogges Hil Witney Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2321,Cirencester 1,Store,Superstore,No,No,1,,,No,Yes,England,Yes,7
2322,Cosham Superstore,Store,Metro,No,No,1,,,No,Yes,England,Yes,7
2323,Coventry Walsgrave,Store,Superstore,No,Yes,1,,,No,Yes,England,Yes,7
2325,Coventry 4,Store,Superstore,No,No,1,,,No,No,England,Yes,7
2328,Coventry Arena Extra,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2334,Frimley  Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2335,West Bromwich,Store,Extra,Yes,No,1,,,No,No,England,Yes,7
2338,Combe Down Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2339,Copnor  Express,Store,Express,No,No,1,,,No,No,England,Yes,7
2341,Cowley Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2344,Hall Green Stratford Rd,Store,Express,No,No,1,,,No,No,England,Yes,7
2347,Blackfield  Express,Store,Express,No,No,1,,,No,No,England,Yes,7
2355,Bridgnorth Telfrd Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2364,Crawley Poundhill Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2366,Chilwell Nottnghm Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2367,Church Gresley Exp,Store,Express,No,No,1,First Drop,,No,Yes,England,Yes,7
2368,Cookley Kiddmnstr Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2369,Ashby Fld Davntry Exp,Store,Express,No,No,1,,,No,Yes,England,Yes,7
2372,Daventry,Store,Superstore,No,No,1,,,No,No,England,Yes,7
2374,Dibden Purlieu  Express,Store,Express,No,No,1,,,No,Yes,England,Yes,7
