Depot ID,Depot Name,Period ID,Time From,Time To,Soft Limit,Hard Limit,Interval In Minutes,Type
30103,,1,00:00,00:59,6,6,15,Rolling
30103,,2,01:00,05:59,7,7,15,Rolling
30103,,3,06:00,15:59,5,5,15,Rolling
30103,,4,16:00,23:59,6,6,15,Rolling
30103,,Green Shift,23:00,06:59,200,300,0,Static
30103,,Orange Shift,07:00,14:59,200,300,0,Static
30103,,Yellow Shift,15:00,22:59,200,300,0,Static
37197,,1,00:00,23:59,30,30,60,Rolling
30002,,1,00:00,23:59,30,30,60,Rolling
30052,,1,00:00,23:59,30,30,60,Rolling
30054,,1,00:00,23:59,30,30,60,Rolling
30110,,1,00:00,23:59,30,30,60,Rolling
30111,,1,00:00,23:59,30,30,60,Rolling
30113,,1,00:00,23:59,30,30,60,Rolling
34002,,1,00:00,23:59,30,30,60,Rolling
34512,,1,00:00,23:59,30,30,60,Rolling
34514,,1,00:00,23:59,30,30,60,Rolling
34515,,1,00:00,23:59,30,30,60,Rolling
34517,,1,00:00,23:59,30,30,60,Rolling
35606,,1,00:00,23:59,30,30,60,Rolling
35611,,1,00:00,23:59,30,30,60,Rolling
35612,,1,00:00,23:59,30,30,60,Rolling
30053,,1,00:00,01:59,8,8,15,Rolling
30053,,2,02:00,04:59,9,9,15,Rolling
30053,,3,05:00,23:59,10,10,15,Rolling
30053,,Green Shift,23:00,06:59,200,300,0,Static
30053,,Orange Shift,07:00,14:59,200,300,0,Static
30053,,Yellow Shift,15:00,22:59,200,300,0,Static
30102,,1,00:00,03:59,7,7,15,Rolling
30102,,2,04:00,19:59,25,25,60,Rolling
30102,,3,20:00,23:59,21,21,60,Rolling
30102,,Green Shift,23:00,06:59,200,300,0,Static
30102,,Orange Shift,07:00,14:59,200,300,0,Static
30102,,Yellow Shift,15:00,22:59,200,300,0,Static
35100,,1,00:00,23:59,30,30,60,Rolling
storage001,,1,00:00,23:59,30,30,60,Rolling
storage003,,1,00:00,23:59,30,30,60,Rolling
8881000,,1,00:00,23:59,30,30,60,Rolling
38111,,1,00:00,02:59,3,3,60,Rolling
38111,,2,03:00,10:59,3,3,60,Rolling
38111,,3,11:00,23:59,8,8,60,Rolling
68807,,1,00:00,06:59,5,5,60,Rolling
68807,,2,07:00,08:59,6,6,60,Rolling
68807,,3,09:00,23:59,5,5,60,Rolling
68807,,Green Shift,23:00,06:59,200,300,0,Static
68807,,Orange Shift,07:00,14:59,200,300,0,Static
68807,,Yellow Shift,15:00,22:59,200,300,0,Static
30052,,2,00:00,05:59,9,9,30,Rolling
30052,,3,06:00,23:59,18,18,60,Rolling
30052,,Green Shift,23:00,06:59,200,300,0,Static
30052,,Orange Shift,07:00,14:59,200,300,0,Static
30052,,Yellow Shift,15:00,22:59,200,300,0,Static
37198,,1,00:00,13:59,22,22,60,Rolling
37198,,2,14:00,23:59,22,22,60,Rolling
37198,,Green Shift,23:00,06:59,200,300,0,Static
37198,,Orange Shift,07:00,14:59,200,300,0,Static
37198,,Yellow Shift,15:00,22:59,200,300,0,Static
