Location Id,Depot Id,Product Code,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Bank Holiday
2005,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2008,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2008,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2013,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2013,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2017,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2017,30053,8,09:00,09:00,09:00,09:00,09:00,09:00,09:00,09:00
2020,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2020,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2025,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2025,30103,8,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00
2030,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2030,30103,8,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30
2032,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2032,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2038,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2038,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2041,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2041,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2043,30053,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2043,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2044,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2047,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2047,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2048,34515,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2048,34515,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2064,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2064,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2080,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2080,30103,8,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00
2089,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2089,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2102,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2102,30103,8,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30
2111,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2111,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2115,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2115,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2117,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2117,30103,8,07:00,07:00,07:00,07:00,07:00,07:00,07:00,07:00
2120,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2120,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2124,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2124,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2132,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2132,30053,8,09:00,09:00,09:00,09:00,09:00,09:00,09:00,09:00
2156,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2156,30103,8,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30
2160,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2160,30053,8,09:00,09:00,09:00,09:00,09:00,09:00,09:00,09:00
2162,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2162,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2163,30052,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2163,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2164,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2164,30103,8,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00
2170,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2175,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2175,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2185,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2193,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2193,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2194,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2194,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2198,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2198,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2214,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2219,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2223,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2223,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2234,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2234,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2247,30053,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2247,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2255,34515,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2255,34515,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2257,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2266,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2266,30103,8,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30
2267,30053,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2267,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2279,30053,8,07:30,07:30,07:30,07:30,07:30,07:30,07:30,07:30
2279,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2282,30103,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2282,30103,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2302,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2305,30053,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2305,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2313,30052,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2313,30052,8,08:00,08:00,08:00,08:00,08:00,08:00,08:00,08:00
2318,30052,1,23:59,23:59,23:59,23:59,23:59,23:59,23:59,23:59
2318,30052,8,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
2319,30053,8,14:00,14:00,14:00,14:00,14:00,14:00,14:00,14:00
2319,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2321,30053,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2321,30053,8,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
2322,30103,1,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2322,30103,8,23:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00
2323,30102,1,23:15,23:15,23:15,23:15,23:15,23:15,23:15,23:15
