Vehicle Group,Number of Bulk Heads,Number of Cages,Fresh,Frozen
dd,2,72,72,0
dd,2,72,69,3
dd,2,72,66,6
dd,2,72,63,9
dd,2,72,60,12
dd,2,72,57,15
dd,2,72,54,18
dd,2,72,51,21
dd,2,72,48,24
dd,2,72,45,27
dd,2,72,42,30
dd,2,72,39,33
dd,2,72,36,36
dd,2,72,33,39
dd,2,72,30,42
dd,2,72,21,51
dd,2,72,18,54
dd,2,72,15,57
dd,2,72,12,60
dd,2,72,9,63
dd,2,72,6,66
dd,2,72,3,69
13m,2,45,45,0
13m,2,45,39,6
13m,2,45,36,9
13m,2,45,33,12
13m,2,45,30,15
13m,2,45,27,18
13m,2,45,21,24
13m,2,45,18,27
13m,2,45,15,30
13m,2,45,12,33
13m,2,45,9,36
13m,2,45,6,39
13m,2,45,0,45
12m,2,42,42,0
12m,2,42,36,6
12m,2,42,33,9
12m,2,42,30,12
12m,2,42,27,15
12m,2,42,24,18
12m,2,42,18,24
12m,2,42,15,27
12m,2,42,12,30
12m,2,42,9,33
12m,2,42,6,36
12m,2,42,0,42
10m,2,33,33,0
10m,2,33,27,6
10m,2,33,24,9
10m,2,33,21,12
10m,2,33,18,15
10m,2,33,15,18
10m,2,33,9,24
10m,2,33,6,27
10m,2,33,0,33
8m,1,27,27,0
8m,1,27,21,6
8m,1,27,18,9
8m,1,27,15,12
8m,1,27,12,15
8m,1,27,9,18
8m,1,27,6,21
8m,1,27,0,27
rigid10m18t,1,27,27,0
rigid10m18t,1,27,21,6
rigid10m18t,1,27,18,9
rigid10m18t,1,27,15,12
rigid10m18t,1,27,12,15
rigid10m18t,1,27,9,18
rigid10m18t,1,27,6,21
rigid10m18t,1,27,0,27
rigid8m16t,1,21,21,0
rigid8m16t,1,21,15,6
rigid8m16t,1,21,12,9
rigid8m16t,1,21,9,12
rigid8m16t,1,21,6,15
rigid8m16t,1,21,0,21
rigid10m26t,1,27,27,0
rigid10m26t,1,27,21,6
rigid10m26t,1,27,18,9
rigid10m26t,1,27,15,12
rigid10m26t,1,27,12,15
rigid10m26t,1,27,9,18
rigid10m26t,1,27,6,21
rigid10m26t,1,27,0,27
13m_low,2,45,45,0
13m_low,2,45,39,6
13m_low,2,45,36,9
13m_low,2,45,33,12
13m_low,2,45,30,15
13m_low,2,45,27,18
13m_low,2,45,21,24
13m_low,2,45,18,27
13m_low,2,45,15,30
13m_low,2,45,12,33
13m_low,2,45,9,36
13m_low,2,45,6,39
13m_low,2,45,0,45
12m_low,2,42,42,0
12m_low,2,42,36,6
12m_low,2,42,33,9
12m_low,2,42,30,12
12m_low,2,42,27,15
12m_low,2,42,24,18
12m_low,2,42,18,24
12m_low,2,42,15,27
12m_low,2,42,12,30
12m_low,2,42,9,33
12m_low,2,42,6,36
10m_low,2,33,33,0
10m_low,2,33,27,6
10m_low,2,33,24,9
10m_low,2,33,21,12
10m_low,2,33,18,15
10m_low,2,33,15,18
10m_low,2,33,9,24
10m_low,2,33,6,27
10m_low,2,33,0,33
rigid10m18t_ulez,1,27,27,0
rigid10m18t_ulez,1,27,21,6
rigid10m18t_ulez,1,27,18,9
rigid10m18t_ulez,1,27,15,12
rigid10m18t_ulez,1,27,12,15
rigid10m18t_ulez,1,27,9,18
rigid10m18t_ulez,1,27,6,21
rigid10m18t_ulez,1,27,0,27
rigid8m16t_ulez,1,21,21,0
rigid8m16t_ulez,1,21,15,6
rigid8m16t_ulez,1,21,12,9
rigid8m16t_ulez,1,21,9,12
rigid8m16t_ulez,1,21,6,15
rigid8m16t_ulez,1,21,0,21
rigid10m26t_ulez,1,27,27,0
rigid10m26t_ulez,1,27,21,6
rigid10m26t_ulez,1,27,18,9
rigid10m26t_ulez,1,27,15,12
rigid10m26t_ulez,1,27,12,15
rigid10m26t_ulez,1,27,9,18
rigid10m26t_ulez,1,27,6,21
rigid10m26t_ulez,1,27,0,27
