VehicleId,Vehicle Group,Depot Id,Vehicle Loading Time,Cost Per Mile,Unit Loading Cost,Integrated Fleet,End at Origin,Max No Of Drops,Rsu Duration,De Kit Time,Cage Consolidation,Tractor4x2,Tractor6x2,Tractor4x2 Ulez,Tractor6x2 Ulez
1,tractor4x2,30103,00:05,0.4977,0.6946,N,Y,20,00:20,00:30,0,N,N,N,N
2,tractor6x2,30103,00:05,0.4977,0.6946,N,Y,20,00:20,00:30,0,N,N,N,N
3,dd,30103,02:00,0.4977,0.805736,N,Y,1,00:20,00:30,2,N,Y,N,Y
4,13m,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
5,12m,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
6,10m,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
8,8m,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,Y,N,Y,N
9,rigid10m26t,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
10,rigid10m18t,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
11,rigid8m16t,30103,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
1,tractor4x2,30102,00:05,0.4977,0.6946,N,Y,20,00:30,00:30,0,N,N,N,N
2,tractor6x2,30102,00:05,0.4977,0.6946,N,Y,20,00:30,00:30,0,N,N,N,N
3,dd,30102,02:00,0.4977,0.805736,N,Y,1,00:40,00:30,2,N,Y,N,Y
4,13m,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,2,Y,Y,Y,Y
5,12m,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,2,Y,Y,Y,Y
6,10m,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,2,Y,Y,Y,Y
8,8m,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,1,Y,N,Y,N
9,rigid10m26t,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,1,N,N,N,N
10,rigid10m18t,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,1,N,N,N,N
11,rigid8m16t,30102,01:30,0.4977,0.6946,N,Y,11,00:30,00:30,1,N,N,N,N
1,tractor4x2,30053,00:05,0.4977,0.6946,N,Y,20,00:20,00:30,0,N,N,N,N
2,tractor6x2,30053,00:05,0.4977,0.6946,N,Y,20,00:20,00:30,0,N,N,N,N
3,dd,30053,02:00,0.4977,0.805736,N,Y,1,00:20,00:30,2,N,Y,N,Y
4,13m,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
5,12m,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
6,10m,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
8,8m,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,Y,N,Y,N
9,rigid10m26t,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
10,rigid10m18t,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
11,rigid8m16t,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
12,13m_low,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
13,12m_low,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
14,10m_low,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
15,rigid10m26t_ulez,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
16,rigid10m18t_ulez,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
17,rigid8m16t_ulez,30053,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
18,tractor4x2_ulez,30053,00:05,0.4977,0.6946,N,Y,20,00:30,00:30,0,N,N,N,N
19,tractor6x2_ulez,30053,00:05,0.4977,0.6946,N,Y,20,00:30,00:30,0,N,N,N,N
1,tractor4x2,38111,00:05,0.4977,0.6946,N,Y,20,00:20,00:30,0,N,N,N,N
2,tractor6x2,38111,00:05,0.4977,0.6946,N,Y,20,00:20,00:30,0,N,N,N,N
3,dd,38111,02:00,0.4977,0.805736,N,Y,11,00:20,00:30,2,N,Y,N,Y
4,13m,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
5,12m,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
6,10m,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
8,8m,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,Y,N,Y,N
9,rigid10m26t,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
10,rigid10m18t,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
11,rigid8m16t,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,1,N,N,N,N
12,13m_low,38111,01:30,0.4977,0.6946,N,Y,11,00:20,00:30,2,Y,Y,Y,Y
